Date,Temp1,Temp2
20190101,62,39
20190102,62,44
20190103,62,42
20190104,57,45
20190105,54,44
20190106,55,36
20190107,62,45
20190108,66,48
20190109,63,39
20190110,57,37
20190111,50,37
20190112,48,35
20190113,48,30
20190114,48,28
20190115,53,28
20190116,50,30
20190117,57,37
20190118,61,33
20190119,55,35
20190120,61,35
20190121,64,43
20190122,61,36
20190123,57,35
20190124,60,35
20190125,55,39
20190126,54,44
20190127,57,48
20190128,59,45
20190129,63,45
20190130,59,41
20190131,55,48
20190201,53,46
20190202,55,44
20190203,59,37
20190204,66,39
20190205,64,43
20190206,61,46
20190207,61,51
20190208,60,51
20190209,61,55
20190210,62,55
20190211,61,46
20190212,59,43
20190213,57,46
20190214,61,39
20190215,64,44
20190216,71,46
20190217,73,51
20190218,60,46
20190219,63,44
20190220,57,45
20190221,59,48
20190222,55,44
20190223,55,42
20190224,57,39
20190225,55,48
20190226,57,44
20190227,53,39
20190228,53,37
20190301,54,37
20190302,61,39
20190303,66,43
20190304,70,48
20190305,68,53
20190306,69,46
20190307,62,51
20190308,61,46
20190309,60,45
20190310,68,46
20190311,79,48
20190312,80,52
20190313,73,53
20190314,64,48
20190315,78,46
20190316,78,50
20190317,62,51
20190318,66,46
20190319,64,48
20190320,60,48
20190321,66,46
20190322,73,43
20190323,78,48
20190324,68,48
20190325,64,53
20190326,66,48
20190327,57,46
20190328,66,42
20190329,73,42
20190330,72,46
20190331,69,46
20190401,64,46
20190402,69,46
20190403,71,46
20190404,69,50
20190405,71,52
20190406,64,52
20190407,68,51
20190408,71,51
20190409,66,50
20190410,72,46
20190411,63,50
20190412,64,46
20190413,70,44
20190414,57,51
20190415,68,46
20190416,75,46
20190417,62,48
20190418,61,45
20190419,57,42
20190420,64,46
20190421,61,43
20190422,63,48
20190423,70,44
20190424,66,46
20190425,66,48
20190426,69,48
20190427,82,50
20190428,81,55
20190429,70,53
20190430,77,51
20190501,70,48
20190502,66,52
20190503,63,48
20190504,64,51
20190505,73,46
20190506,88,54
20190507,91,57
20190508,84,60
20190509,73,55
20190510,57,52
20190511,64,51
20190512,64,50
20190513,72,46
20190514,66,50
20190515,63,51
20190516,70,48
20190517,68,50
20190518,73,50
20190519,70,52
20190520,73,51
20190521,78,54
20190522,81,51
20190523,86,55
20190524,78,55
20190525,69,54
20190526,69,55
20190527,69,54
20190528,73,52
20190529,69,53
20190530,66,55
20190531,64,54
20190601,66,54
20190602,64,54
20190603,70,55
20190604,73,59
20190605,68,55
20190606,70,53
20190607,75,51
20190608,70,50
20190609,75,53
20190610,75,55
20190611,75,53
20190612,79,52
20190613,90,59
20190614,89,60
20190615,86,59
20190616,72,55
20190617,79,53
20190618,79,57
20190619,73,55
20190620,71,55
20190621,77,55
20190622,79,54
20190623,77,54
20190624,77,53
20190625,82,53
20190626,71,54
20190627,73,55
20190628,73,57
20190629,77,60
20190630,75,54
20190701,78,54
20190702,82,57
20190703,72,57
20190704,84,59
20190705,84,61
20190706,75,60
20190707,73,55
20190708,78,55
20190709,73,57
20190710,73,59
20190711,78,62
20190712,75,59
20190713,79,60
20190714,73,60
20190715,78,62
20190716,75,59
20190717,77,60
20190718,75,63
20190719,80,59
20190720,79,59
20190721,77,61
20190722,75,63
20190723,79,64
20190724,73,61
20190725,72,57
20190726,75,60
20190727,78,60
20190728,77,57
20190729,73,57
20190730,80,59
20190731,75,59
20190801,75,59
20190802,73,60
20190803,79,60
20190804,77,59
20190805,71,57
20190806,71,59
20190807,73,57
20190808,71,55
20190809,77,60
20190810,77,57
20190811,73,57
20190812,72,55
20190813,75,55
20190814,73,55
20190815,75,57
20190816,79,60
20190817,80,55
20190818,78,57
20190819,77,55
20190820,80,64
20190821,82,62
20190822,82,60
20190823,82,57
20190824,78,59
20190825,73,61
20190826,73,61
20190827,78,59
20190828,86,62
20190829,88,68
20190830,90,68
20190831,80,66
20190901,87,62
20190902,89,61
20190903,78,61
20190904,78,63
20190905,89,57
20190906,82,64
20190907,75,61
20190908,73,62
20190909,71,61
20190910,73,59
20190911,71,59
20190912,72,60
20190913,77,57
20190914,75,60
20190915,73,57
20190916,72,61
20190917,72,55
20190918,73,55
20190919,66,55
20190920,71,52
20190921,77,57
20190922,64,57
20190923,68,55
20190924,78,52
20190925,84,53
20190926,87,57
20190927,75,55
20190928,66,54
20190929,73,52
20190930,75,48
20191001,71,57
20191002,81,53
20191003,73,54
20191004,69,55
20191005,64,50
20191006,73,45
20191007,77,46
20191008,79,53
20191009,72,53
20191010,69,54
20191011,70,48
20191012,64,54
20191013,70,53
20191014,66,51
20191015,68,52
20191016,66,52
20191017,66,50
20191018,73,50
20191019,72,57
20191020,66,54
20191021,73,51
20191022,81,51
20191023,84,53
20191024,79,55
20191025,66,53
20191026,68,46
20191027,66,52
20191028,75,52
20191029,63,55
20191030,63,53
20191031,63,54
20191101,66,53
20191102,77,50
20191103,80,48
20191104,77,48
20191105,66,48
20191106,62,52
20191107,61,48
20191108,59,53
20191109,63,48
20191110,66,48
20191111,63,48
20191112,68,44
20191113,72,51
20191114,75,55
20191115,69,51
20191116,63,55
20191117,66,51
20191118,64,53
20191119,66,48
20191120,63,46
20191121,64,43
20191122,64,37
20191123,70,37
20191124,60,37
20191125,60,46
20191126,63,42
20191127,63,45
20191128,64,46
20191129,62,41
20191130,55,42
20191201,57,37
20191202,61,45
20191203,66,50
20191204,61,54
20191205,60,50
20191206,57,48
20191207,55,45
20191208,53,42
20191209,57,39
20191210,57,39
20191211,57,41
20191212,55,35
20191213,59,34
20191214,55,34
20191215,55,39
20191216,55,43
20191217,57,48
20191218,57,43
20191219,59,41
20191220,55,43
20191221,53,39
20191222,53,32
20191223,55,37
20191224,57,45
20191225,57,37
20191226,53,43
20191227,48,37
20191228,48,43
20201229,57,44
20211230,52,43
20221231,57,42
